conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,jml_emoji,jml_link,jml_mention,cleaned_text,jml_kata,normalized_text,label
2037800146562638232,Sat Mar 28 07:53:10 +0000 2026,0,"Dalam rencana tersebut, pemerintah menyoroti bahwa kualitas hidup warga di destinasi populer mulai terdampak akibat lonjakan wisatawan. Oleh karena itu, Jepang perlu memperkuat langkah-langkah pengendalian overtourism sambil tetap meningkatkan jumlah turis asing sebagai penggerak",2037800149406408931,,podcast_tyler,in,,0,1,0,,1.4462954042874552e+18,,0,0,0,dalam rencana tersebut pemerintah menyoroti bahwa kualitas hidup warga di destinasi populer mulai terdampak akibat lonjakan wisatawan oleh karena itu jepang perlu memperkuat langkahlangkah pengendalian overtourism sambil tetap meningkatkan jumlah turis asing sebagai penggerak,34,dalam rencana tersebut pemerintah menyoroti bahwa kualitas hidup warga di destinasi populer mulai terdampak akibat lonjakan wisatawan oleh karena itu jepang perlu memperkuat langkahlangkah pengendalian overtourism sambil tetap meningkatkan jumlah turis asing sebagai penggerak,"Overtourism & Keramaian, Regulasi & Kebijakan"
2032971532193165786,Sun Mar 15 00:06:00 +0000 2026,0,"2️⃣ Kenapa Jepang membuat sistem ini?

Jumlah turis melonjak besar dalam beberapa tahun terakhir.

Masalah yang muncul:
• overstay visa  
• imigrasi ilegal  
• antrean panjang di bandara

JESTA dibuat untuk menyaring traveler sebelum mereka tiba di Jepang.",2032971540908974570,,kangende3,in,,0,1,0,,2.0254824143663596e+18,,1,0,0,⃣ kenapa jepang membuat sistem ini jumlah turis melonjak besar dalam beberapa tahun terakhir masalah yang muncul • overstay visa • imigrasi ilegal • antrean panjang di bandara jesta dibuat untuk menyaring traveler sebelum mereka tiba di jepang,38,⃣ kenapa jepang membuat sistem ini jumlah turis melonjak besar dalam beberapa tahun terakhir masalah yang muncul • overstay visa • imigrasi ilegal • antrean panjang di bandara jesta dibuat untuk menyaring traveler sebelum mereka tiba di jepang,"Overtourism & Keramaian, Regulasi & Kebijakan"
2031106344842047710,Mon Mar 09 20:34:23 +0000 2026,10,tahun lalu ada kasus maling di bali yg pelakunya turis jepang. orang2 jg pada bilang kalau di jepang jarang maling karena mereka takut hukum di sana. tp kalau udah di negara orang ya mereka sama aja. bahkan lebih problematik krn kyk ABG yg dikekang di rumahnya jadi nakal di luar,2031106344842047710,,,in,,0,0,1,,1.4528016026082673e+18,,0,0,0,tahun lalu ada kasus maling di bali yg pelakunya turis jepang orang jg pada bilang kalau di jepang jarang maling karena mereka takut hukum di sana tp kalau udah di negara orang ya mereka sama aja bahkan lebih problematik krn kyk abg yg dikekang di rumahnya jadi nakal di luar,50,tahun lalu ada kasus maling di bali yang pelakunya turis jepang orang jg pada bilang kalau di jepang jarang maling karena mereka takut hukum di sana tapi kalau sudah di negara orang ya mereka sama saja bahkan lebih problematik karena seperti abg yang dikekang di rumahnya jadi nakal di luar,"Pelanggaran Etika & Perilaku, Regulasi & Kebijakan"
2030966433790984303,Mon Mar 09 11:18:26 +0000 2026,9278,"If you are a foreigner attending a concert on a foreign country. You should leave your entitled ass back home. Lol. 🤣 and tbh you wont see them pulling that kind of behavior in Japan, only on SEA countries because they feel like they can break rules coz they look down on us.",2030966433790984303,,,en,,87,20,1905,,3186444943.0,,1,0,0,if you are a foreigner attending a concert on a foreign country you should leave your entitled ass back home lol and tbh you wont see them pulling that kind of behavior in japan only on sea countries because they feel like they can break rules coz they look down on us,52,if you are a foreigner attending a concert on a foreign country you should leave your entitled ass back home lol and tbh you wont see them pulling that kind of behavior in japan only on sea countries because they feel like they can break rules coz they look down on us,Lain-lain
2029263494042861773,Wed Mar 04 18:31:35 +0000 2026,0,"Turis dari Jepang &amp; Korea hampir sama yaitu datang, pesan, makan, dan selesai. Kalau dari Eropa &amp; US mereka sangat mengapresiasi kita, bahkan ada yang menunggu lama mereka pun memahami dan hampir tidak ada masalah. Kebanyakan turis dari India memilih makanan vegan dan pedas.",2029263500376166808,,YunazKaraman,in,,0,1,0,,3276003606.0,,0,0,0,turis dari jepang amp korea hampir sama yaitu datang pesan makan dan selesai kalau dari eropa amp us mereka sangat mengapresiasi kita bahkan ada yang menunggu lama mereka pun memahami dan hampir tidak ada masalah kebanyakan turis dari india memilih makanan vegan dan pedas,44,turis dari jepang amp korea hampir sama yaitu datang pesan makan dan selesai kalau dari eropa amp us mereka sangat mengapresiasi kita bahkan ada yang menunggu lama mereka pun memahami dan hampir tidak ada masalah kebanyakan turis dari india memilih makanan vegan dan pedas,Lain-lain
2029171291975237908,Wed Mar 04 12:25:10 +0000 2026,2,"Kota pesisir Kamakura di Prefektur Kanagawa kini tengah menghadapi tantangan besar akibat lonjakan wisatawan mancanegara.

https://t.co/5wzqNL1pHU

~AA #ohayojepang #kamakura #jepang",2029171291975237908,,,in,,0,0,0,,23343960.0,,0,1,0,kota pesisir kamakura di prefektur kanagawa kini tengah menghadapi tantangan besar akibat lonjakan wisatawan mancanegara aa,16,kota pesisir kamakura di prefektur kanagawa kini tengah menghadapi tantangan besar akibat lonjakan wisatawan mancanegara aa,Lain-lain
2025586239219622366,Sun Feb 22 15:05:06 +0000 2026,0,"@gokli87 Benar, Jepang memang terkenal sebagai negara terbersih berkat budaya disiplin warganya. Tapi di area wisata seperti Shinjuku, masalah sampah meningkat akhir-akhir ini karena lonjakan turis pasca-pandemi dan kurangnya tempat sampah umum (sejak insiden sarin 1995). Pemerintah",2025587659314278712,,gokli87,in,,0,0,0,,1.7206651831889224e+18,,0,0,1,benar jepang memang terkenal sebagai negara terbersih berkat budaya disiplin warganya tapi di area wisata seperti shinjuku masalah sampah meningkat akhirakhir ini karena lonjakan turis pascapandemi dan kurangnya tempat sampah umum sejak insiden sarin pemerintah,35,benar jepang memang terkenal sebagai negara terbersih berkat budaya disiplin warganya tapi di area wisata seperti shinjuku masalah sampah meningkat akhirakhir ini karena lonjakan turis pascapandemi dan kurangnya tempat sampah umum sejak insiden sarin pemerintah,"Pelanggaran Etika & Perilaku, Regulasi & Kebijakan"
2025224965193375991,Sat Feb 21 15:03:59 +0000 2026,0,"bukan penutur asli bahasa Jepang bisa mengikuti JLPT di Jepang, termasuk turis dan pemegang visa jangka pendek. Namun kebijakan itu berubah karena berbagai masalah administratif, terutama terkait pendaftar dari luar negeri yang menggunakan alamat Jepang tanpa izin atau",2025224991512698881,,podcast_tyler,in,,0,1,0,,1.4462954042874552e+18,,0,0,0,bukan penutur asli bahasa jepang bisa mengikuti jlpt di jepang termasuk turis dan pemegang visa jangka pendek namun kebijakan itu berubah karena berbagai masalah administratif terutama terkait pendaftar dari luar negeri yang menggunakan alamat jepang tanpa izin atau,38,bukan penutur asli bahasa jepang bisa mengikuti jlpt di jepang termasuk turis dan pemegang visa jangka pendek namun kebijakan itu berubah karena berbagai masalah administratif terutama terkait pendaftar dari luar negeri yang menggunakan alamat jepang tanpa izin atau,Regulasi & Kebijakan
2023654582602395862,Wed Feb 18 04:03:56 +0000 2026,0,"@mzoaSa_8g @jake__L_ Jepang lebih punya adab, lebih ramah turis, dibanding kalian",2023971719061328367,,,in,,0,0,0,,1413115736.0,,0,0,2,jepang lebih punya adab lebih ramah turis dibanding kalian,9,jepang lebih punya adab lebih ramah turis dibanding kalian,Pelanggaran Etika & Perilaku
2023339727991300594,Tue Feb 17 05:30:06 +0000 2026,1,"@blucheck333 karna faktanya negara jepang adalah negara yang ramah buat turis, mereka tidak rasis. hukum Syariah itu bukan hukum yang disepakati disana, jadi memang tidak ada masalah. Fakta itu sudah dipahami oleh seluruh masyarakat dunia kecuali sebuah pulau kecil yang merasa superior.",2023631017874260346,,blucheck333,in,,0,0,0,,1.1750086560829235e+18,,0,0,1,karna faktanya negara jepang adalah negara yang ramah buat turis mereka tidak rasis hukum syariah itu bukan hukum yang disepakati disana jadi memang tidak ada masalah fakta itu sudah dipahami oleh seluruh masyarakat dunia kecuali sebuah pulau kecil yang merasa superior,41,karena faktanya negara jepang adalah negara yang ramah buat turis mereka tidak rasis hukum syariah itu bukan hukum yang disepakati disana jadi memang tidak ada masalah fakta itu sudah dipahami oleh seluruh masyarakat dunia kecuali sebuah pulau kecil yang merasa superior,Regulasi & Kebijakan
